1980-04-06,1980-10-26
1981-04-05,1981-10-25
1982-04-04,1982-10-31
1983-04-03,1983-10-30
1984-04-01,1984-10-28
1985-04-07,1985-10-27
1986-04-06,1986-10-26
1987-04-05,1987-10-25
1988-04-03,1988-10-30
1989-04-02,1989-10-29
1990-04-01,1990-10-28
1991-04-07,1991-10-27
1992-04-05,1992-10-25
1993-04-04,1993-10-31
1994-04-03,1994-10-30
1995-04-02,1995-10-29
1996-04-07,1996-10-27
1997-04-06,1997-10-26
1998-04-05,1998-10-25
1999-04-04,1999-10-31
2000-04-02,2000-10-29
2001-04-01,2001-10-28
2002-04-07,2002-10-27
2003-04-06,2003-10-26
2004-04-04,2004-10-31
2005-04-03,2005-10-30
2006-04-02,2006-10-29
2007-03-11,2007-11-04
2008-03-09,2008-11-02
2009-03-08,2009-11-01
2010-03-14,2010-11-07
2011-03-13,2011-11-06
2012-03-11,2012-11-04
2013-03-10,2013-11-03
2014-03-09,2014-11-02
2015-03-08,2015-11-01
2016-03-13,2016-11-06
2017-03-12,2017-11-05
2018-03-11,2018-11-04
2019-03-10,2019-11-03
2020-03-08,2020-11-01
